Model,Production_Year,Number_of_Engines,Engine_Type,Capacity,Range_km,Fuel_Consumption_Lph,Hourly_Maintenance_Cost,Age,Sales_Region,Price_USD,Cost_Per_Seat,Maintenance_Cost_Per_Seat,Fuel_Efficiency,Range_Efficiency,Aircraft_Size,Age_Category
Airbus A350,2009,2,Turbofan,350,14800,13.21,1746.61,14,Avustralya,588485737.85,1681387.8224285715,4.990314285714286,0.03774285714285715,1120.3633610900831,Very Large,Mid-Age
Bombardier CRJ200,1995,2,Turbofan,50,3000,4.88,3533.99,28,Avustralya,10707929.91,214158.5982,70.6798,0.09759999999999999,614.7540983606558,Medium,Old
Bombardier CRJ200,2017,2,Turbofan,50,3000,7.32,656.6,6,Avrupa,23143550.69,462871.0138,13.132,0.1464,409.8360655737705,Medium,Mid-Age
Bombardier CRJ200,1991,2,Turbofan,50,3000,9.86,3229.31,32,Kuzey Amerika,11734333.12,234686.66239999997,64.5862,0.1972,304.25963488843814,Medium,Old
Cessna 172,1980,1,Piston,4,1285,20.6,1739.51,43,Avustralya,240001.69,60000.4225,434.8775,5.15,62.37864077669902,Small,Old
Boeing 737,1984,2,Turbofan,162,5700,7.84,2912.87,39,Asya,57976932.64,357882.30024691357,17.98067901234568,0.04839506172839506,727.0408163265306,Large,Old
Airbus A350,1986,2,Turbofan,350,14800,4.78,3733.72,37,Güney Amerika,367605483.28,1050301.3808,10.667771428571427,0.013657142857142857,3096.234309623431,Very Large,Old
Boeing 737,2023,2,Turbofan,162,5700,7.37,1386.29,0,Afrika,132525006.97,818055.5985802469,8.557345679012345,0.04549382716049383,773.4056987788331,Large,New
Boeing 777,1994,2,Turbofan,396,15600,7.84,2171.59,29,Avustralya,340578446.98,860046.5832828283,5.4838131313131315,0.019797979797979797,1989.795918367347,Very Large,Old
Boeing 777,1996,2,Turbofan,396,15600,4.65,2917.26,27,Avrupa,319474619.03,806754.0884595959,7.366818181818182,0.011742424242424243,3354.838709677419,Very Large,Old
Boeing 737,1981,2,Turbofan,162,5700,8.47,660.25,42,Güney Amerika,54060414.96,333706.2651851852,4.075617283950617,0.052283950617283956,672.9634002361274,Large,Old
Boeing 737,1983,2,Turbofan,162,5700,9.26,2993.76,40,Güney Amerika,57951912.92,357727.8575308642,18.48,0.05716049382716049,615.5507559395248,Large,Old
Bombardier CRJ200,1993,2,Turbofan,50,3000,12.54,1635.0,30,Güney Amerika,12747743.67,254954.8734,32.7,0.25079999999999997,239.23444976076556,Medium,Old
Bombardier CRJ200,1987,2,Turbofan,50,3000,3.77,4762.27,36,Avustralya,10269133.59,205382.6718,95.2454,0.0754,795.7559681697612,Medium,Old
Boeing 737,1985,2,Turbofan,162,5700,6.23,770.33,38,Güney Amerika,63381679.38,391244.9344444445,4.755123456790123,0.03845679012345679,914.927768860353,Large,Old
Airbus A320,2004,2,Turbofan,180,6300,11.23,1146.59,19,Avustralya,85973787.13,477632.15072222217,6.369944444444444,0.06238888888888889,560.9973285841496,Large,Old
Bombardier CRJ200,2016,2,Turbofan,50,3000,12.51,541.59,7,Avrupa,20995554.42,419911.0884,10.831800000000001,0.2502,239.80815347721824,Medium,Mid-Age
Boeing 737,1991,2,Turbofan,162,5700,9.88,1292.87,32,Kuzey Amerika,69349362.49,428082.4845061728,7.980679012345679,0.06098765432098766,576.9230769230769,Large,Old
Boeing 777,2009,2,Turbofan,396,15600,3.13,1920.44,14,Avustralya,471153411.77,1189781.3428535352,4.84959595959596,0.007904040404040405,4984.025559105431,Very Large,Mid-Age
Boeing 737,2020,2,Turbofan,162,5700,4.44,1503.28,3,Afrika,141627002.96,874240.7590123457,9.279506172839506,0.027407407407407408,1283.7837837837837,Large,New
Boeing 777,2007,2,Turbofan,396,15600,2.16,1687.13,16,Avustralya,494701743.95,1249246.8281565655,4.2604292929292935,0.005454545454545455,7222.222222222222,Very Large,Old
Bombardier CRJ200,2000,2,Turbofan,50,3000,9.87,2835.22,23,Kuzey Amerika,13161049.1,263220.982,56.70439999999999,0.1974,303.95136778115506,Medium,Old
Airbus A320,1984,2,Turbofan,180,6300,9.45,2620.28,39,Kuzey Amerika,82092709.89,456070.6105,14.557111111111112,0.0525,666.6666666666667,Large,Old
Boeing 737,2004,2,Turbofan,162,5700,12.77,4675.55,19,Afrika,69873483.79,431317.80117283954,28.86141975308642,0.07882716049382715,446.3586530931872,Large,Old
Boeing 777,1983,2,Turbofan,396,15600,8.56,1681.85,40,Kuzey Amerika,367568769.37,928203.9630555556,4.247095959595959,0.021616161616161617,1822.429906542056,Very Large,Old
Boeing 777,1991,2,Turbofan,396,15600,8.54,3848.22,32,Afrika,403600467.15,1019193.0988636363,9.717727272727272,0.021565656565656562,1826.697892271663,Very Large,Old
Boeing 737,2011,2,Turbofan,162,5700,5.76,4126.87,12,Avrupa,93635573.71,577997.3685802469,25.474506172839504,0.035555555555555556,989.5833333333334,Large,Mid-Age
Bombardier CRJ200,2011,2,Turbofan,50,3000,8.44,4475.07,12,Asya,18825240.42,376504.80840000004,89.50139999999999,0.16879999999999998,355.45023696682466,Medium,Mid-Age
Airbus A320,2014,2,Turbofan,180,6300,11.8,1909.63,9,Afrika,121744939.52,676360.7751111111,10.609055555555557,0.06555555555555556,533.8983050847457,Large,Mid-Age
Airbus A320,2019,2,Turbofan,180,6300,11.42,4395.77,4,Avustralya,125117834.51,695099.0806111111,24.420944444444448,0.06344444444444444,551.6637478108581,Large,New
Boeing 737,2008,2,Turbofan,162,5700,4.79,2317.15,15,Avustralya,76874124.16,474531.6306172839,14.303395061728395,0.0295679012345679,1189.9791231732777,Large,Mid-Age
Boeing 777,1986,2,Turbofan,396,15600,11.66,1292.4,37,Asya,361846245.24,913753.1445454545,3.2636363636363637,0.029444444444444443,1337.9073756432247,Very Large,Old
Boeing 737,1984,2,Turbofan,162,5700,7.9,1634.31,39,Güney Amerika,64646359.73,399051.6032716049,10.088333333333333,0.04876543209876544,721.5189873417721,Large,Old
Bombardier CRJ200,1996,2,Turbofan,50,3000,3.04,2259.92,27,Afrika,12021539.97,240430.79940000002,45.1984,0.0608,986.8421052631579,Medium,Old
Boeing 737,2011,2,Turbofan,162,5700,9.68,904.22,12,Avrupa,82218933.31,507524.27969135804,5.581604938271605,0.05975308641975308,588.8429752066116,Large,Mid-Age
Bombardier CRJ200,2020,2,Turbofan,50,3000,2.7,2443.3,3,Asya,26799834.52,535996.6904,48.86600000000001,0.054000000000000006,1111.111111111111,Medium,New
Boeing 737,2022,2,Turbofan,162,5700,8.56,2824.46,1,Afrika,108902006.5,672234.6080246913,17.43493827160494,0.05283950617283951,665.8878504672897,Large,New
Boeing 777,1989,2,Turbofan,396,15600,4.26,1631.44,34,Avustralya,415465066.35,1049154.2079545455,4.11979797979798,0.010757575757575757,3661.971830985916,Very Large,Old
Boeing 777,2005,2,Turbofan,396,15600,13.11,4810.26,18,Güney Amerika,472251587.65,1192554.5142676767,12.147121212121213,0.033106060606060604,1189.9313501144165,Very Large,Old
Boeing 737,2012,2,Turbofan,162,5700,8.39,1444.52,11,Avustralya,87853505.27,542305.5880864197,8.91679012345679,0.05179012345679013,679.3802145411204,Large,Mid-Age
Airbus A350,2010,2,Turbofan,350,14800,10.73,588.25,13,Afrika,603200207.74,1723429.1649714287,1.6807142857142856,0.03065714285714286,1379.310344827586,Very Large,Mid-Age
Airbus A350,1984,2,Turbofan,350,14800,12.45,1239.77,39,Güney Amerika,374364350.06,1069612.4287428572,3.5422,0.035571428571428566,1188.7550200803214,Very Large,Old
Airbus A320,1980,2,Turbofan,180,6300,3.65,4063.82,43,Afrika,69239250.3,384662.50166666665,22.576777777777778,0.020277777777777777,1726.027397260274,Large,Old
Bombardier CRJ200,2010,2,Turbofan,50,3000,5.42,1646.24,13,Asya,17231235.29,344624.7058,32.9248,0.1084,553.5055350553506,Medium,Mid-Age
Boeing 777,2023,2,Turbofan,396,15600,13.15,1143.87,0,Kuzey Amerika,887668796.54,2241587.870050505,2.8885606060606057,0.033207070707070706,1186.3117870722433,Very Large,New
Airbus A350,1983,2,Turbofan,350,14800,10.57,1889.87,40,Avustralya,331793153.82,947980.4394857143,5.399628571428571,0.0302,1400.1892147587512,Very Large,Old
Bombardier CRJ200,1985,2,Turbofan,50,3000,11.52,2731.19,38,Kuzey Amerika,15166807.32,303336.1464,54.6238,0.2304,260.4166666666667,Medium,Old
Airbus A350,1998,2,Turbofan,350,14800,7.25,2467.77,25,Avustralya,345614634.49,987470.3842571429,7.050771428571428,0.020714285714285713,2041.3793103448277,Very Large,Old
Airbus A320,1991,2,Turbofan,180,6300,8.59,1116.35,32,Güney Amerika,77833658.07,432409.2115,6.201944444444444,0.04772222222222222,733.4109429569266,Large,Old
Boeing 737,2004,2,Turbofan,162,5700,5.36,3936.27,19,Avustralya,70233544.94,433540.4008641975,24.297962962962963,0.03308641975308642,1063.4328358208954,Large,Old
Airbus A320,1999,2,Turbofan,180,6300,14.9,2663.54,24,Avustralya,88658425.86,492546.8103333333,14.797444444444444,0.08277777777777778,422.8187919463087,Large,Old
Airbus A350,1986,2,Turbofan,350,14800,11.98,2366.81,37,Avustralya,390210350.93,1114886.7169428573,6.762314285714286,0.03422857142857143,1235.3923205342237,Very Large,Old
Bombardier CRJ200,2002,2,Turbofan,50,3000,3.6,682.29,21,Afrika,13405210.29,268104.2058,13.6458,0.07200000000000001,833.3333333333333,Medium,Old
Boeing 737,2020,2,Turbofan,162,5700,6.5,4305.85,3,Afrika,103781492.19,640626.495,26.579320987654324,0.040123456790123455,876.9230769230769,Large,New
Bombardier CRJ200,1992,2,Turbofan,50,3000,11.22,3445.8,31,Avrupa,9908513.32,198170.2664,68.916,0.22440000000000002,267.379679144385,Medium,Old
Boeing 737,1992,2,Turbofan,162,5700,6.45,3096.74,31,Asya,70333334.73,434156.3872222222,19.115679012345677,0.03981481481481482,883.7209302325581,Large,Old
Bombardier CRJ200,2017,2,Turbofan,50,3000,14.91,877.43,6,Avrupa,20470384.32,409407.6864,17.5486,0.2982,201.20724346076457,Medium,Mid-Age
Airbus A350,2004,2,Turbofan,350,14800,6.28,3426.34,19,Asya,494106488.33,1411732.8238,9.789542857142857,0.017942857142857142,2356.687898089172,Very Large,Old
Cessna 172,2021,1,Piston,4,1285,20.48,2261.54,2,Kuzey Amerika,369354.2,92338.55,565.385,5.12,62.744140625,Small,New
Airbus A350,2014,2,Turbofan,350,14800,8.65,3741.87,9,Afrika,503482591.79,1438521.6908285716,10.691057142857142,0.024714285714285716,1710.9826589595375,Very Large,Mid-Age
Boeing 737,1982,2,Turbofan,162,5700,2.54,4746.04,41,Kuzey Amerika,80383832.2,496196.4950617284,29.296543209876543,0.015679012345679012,2244.0944881889764,Large,Old
Boeing 737,2001,2,Turbofan,162,5700,2.64,4640.89,22,Avustralya,71765425.71,442996.45499999996,28.64746913580247,0.0162962962962963,2159.090909090909,Large,Old
Boeing 737,2005,2,Turbofan,162,5700,13.1,3080.75,18,Asya,85280798.76,526424.6837037037,19.016975308641975,0.0808641975308642,435.1145038167939,Large,Old
Airbus A320,2021,2,Turbofan,180,6300,11.52,585.7,2,Avustralya,145305108.65,807250.6036111112,3.253888888888889,0.064,546.875,Large,New
Boeing 737,1989,2,Turbofan,162,5700,2.84,1464.22,34,Afrika,63132639.56,389707.65160493826,9.038395061728394,0.017530864197530863,2007.042253521127,Large,Old
Bombardier CRJ200,1981,2,Turbofan,50,3000,10.09,3084.32,42,Afrika,13704133.7,274082.674,61.686400000000006,0.2018,297.32408325074334,Medium,Old
Bombardier CRJ200,2021,2,Turbofan,50,3000,11.04,557.4,2,Avrupa,26801296.42,536025.9284000001,11.148,0.2208,271.7391304347826,Medium,New
Boeing 737,1991,2,Turbofan,162,5700,6.55,3420.86,32,Avustralya,51074906.58,315277.2011111111,21.116419753086422,0.0404320987654321,870.2290076335878,Large,Old
Boeing 737,1999,2,Turbofan,162,5700,3.74,4626.94,24,Asya,64170696.47,396115.41030864196,28.561358024691355,0.02308641975308642,1524.0641711229946,Large,Old
Airbus A350,2019,2,Turbofan,350,14800,4.79,2181.05,4,Avrupa,639045297.08,1825843.7059428573,6.231571428571429,0.013685714285714285,3089.7703549060543,Very Large,New
Boeing 737,2011,2,Turbofan,162,5700,10.97,4146.95,12,Güney Amerika,95899798.13,591974.0625308641,25.598456790123457,0.06771604938271605,519.5989061075661,Large,Mid-Age
Airbus A320,2007,2,Turbofan,180,6300,12.81,1726.1,16,Kuzey Amerika,103396366.94,574424.2607777778,9.589444444444444,0.07116666666666667,491.8032786885246,Large,Old
Bombardier CRJ200,2023,2,Turbofan,50,3000,8.42,4912.12,0,Afrika,26046221.97,520924.4394,98.2424,0.1684,356.29453681710214,Medium,New
Boeing 777,1987,2,Turbofan,396,15600,14.26,837.92,36,Avustralya,326903618.08,825514.187070707,2.115959595959596,0.03601010101010101,1093.969144460028,Very Large,Old
Boeing 777,1993,2,Turbofan,396,15600,10.15,3230.24,30,Asya,428470112.38,1081995.2332828282,8.157171717171716,0.025631313131313133,1536.9458128078818,Very Large,Old
Boeing 737,1987,2,Turbofan,162,5700,12.1,3795.31,36,Kuzey Amerika,63663970.68,392987.4733333333,23.427839506172838,0.07469135802469136,471.07438016528926,Large,Old
Airbus A320,2006,2,Turbofan,180,6300,4.8,4426.08,17,Avrupa,103073297.06,572629.4281111112,24.589333333333332,0.026666666666666665,1312.5,Large,Old
Bombardier CRJ200,2003,2,Turbofan,50,3000,12.78,2813.36,20,Güney Amerika,13252651.22,265053.0244,56.2672,0.2556,234.7417840375587,Medium,Old
Airbus A320,2008,2,Turbofan,180,6300,9.42,2497.03,15,Avrupa,103597037.89,575539.0993888889,13.87238888888889,0.052333333333333336,668.7898089171974,Large,Mid-Age
Boeing 737,2020,2,Turbofan,162,5700,9.73,1208.75,3,Güney Amerika,105501476.61,651243.6827777778,7.46141975308642,0.06006172839506173,585.8170606372045,Large,New
Airbus A350,1990,2,Turbofan,350,14800,14.74,1055.59,33,Asya,384323880.64,1098068.2304,3.0159714285714285,0.042114285714285715,1004.0705563093622,Very Large,Old
Airbus A350,1985,2,Turbofan,350,14800,4.96,2271.74,38,Asya,390966478.68,1117047.0819428572,6.490685714285713,0.014171428571428571,2983.8709677419356,Very Large,Old
Boeing 737,1991,2,Turbofan,162,5700,10.37,3242.5,32,Asya,57225922.18,353246.43320987653,20.015432098765434,0.06401234567901234,549.6624879459981,Large,Old
Bombardier CRJ200,2021,2,Turbofan,50,3000,13.62,896.03,2,Güney Amerika,19540819.88,390816.39759999997,17.9206,0.2724,220.26431718061676,Medium,New
Boeing 777,2006,2,Turbofan,396,15600,7.07,2580.63,17,Avustralya,475875192.57,1201705.0317424242,6.516742424242424,0.017853535353535354,2206.5063649222066,Very Large,Old
Airbus A350,1988,2,Turbofan,350,14800,14.08,4386.1,35,Avrupa,400850407.52,1145286.8786285713,12.531714285714287,0.040228571428571426,1051.1363636363637,Very Large,Old
Airbus A320,2020,2,Turbofan,180,6300,14.1,4016.85,3,Kuzey Amerika,141220964.02,784560.9112222223,22.315833333333334,0.07833333333333334,446.8085106382979,Large,New
Airbus A320,1991,2,Turbofan,180,6300,9.34,523.96,32,Güney Amerika,74010966.91,411172.0383888889,2.910888888888889,0.05188888888888889,674.5182012847965,Large,Old
Bombardier CRJ200,1982,2,Turbofan,50,3000,6.19,2026.42,41,Güney Amerika,13243611.82,264872.2364,40.528400000000005,0.12380000000000001,484.6526655896607,Medium,Old
Airbus A320,2011,2,Turbofan,180,6300,13.09,3241.38,12,Güney Amerika,123860827.42,688115.7078888889,18.00766666666667,0.07272222222222222,481.2834224598931,Large,Mid-Age
Boeing 737,2020,2,Turbofan,162,5700,8.75,1690.69,3,Kuzey Amerika,116078692.51,716535.1389506173,10.436358024691359,0.05401234567901234,651.4285714285714,Large,New
Boeing 777,2006,2,Turbofan,396,15600,10.6,3005.65,17,Asya,523369508.64,1321640.1733333333,7.590025252525253,0.026767676767676767,1471.6981132075473,Very Large,Old
Boeing 737,2013,2,Turbofan,162,5700,9.75,1024.0,10,Asya,102724787.29,634103.6252469136,6.320987654320987,0.06018518518518518,584.6153846153846,Large,Mid-Age
Cessna 172,2003,1,Piston,4,1285,13.19,1737.41,20,Güney Amerika,297616.46,74404.115,434.3525,3.2975,97.42228961334345,Small,Old
Bombardier CRJ200,2022,2,Turbofan,50,3000,6.33,3396.97,1,Avrupa,25399183.16,507983.6632,67.93939999999999,0.1266,473.93364928909955,Medium,New
Boeing 777,1983,2,Turbofan,396,15600,9.19,3368.5,40,Avrupa,447458054.93,1129944.5831565657,8.506313131313131,0.023207070707070707,1697.4972796517955,Very Large,Old
Boeing 737,1989,2,Turbofan,162,5700,11.05,551.25,34,Avustralya,67005371.1,413613.40185185184,3.4027777777777777,0.06820987654320988,515.8371040723981,Large,Old
Airbus A350,2011,2,Turbofan,350,14800,9.64,4180.93,12,Avrupa,557065695.43,1591616.2726571427,11.945514285714287,0.027542857142857143,1535.2697095435683,Very Large,Mid-Age
Airbus A320,2022,2,Turbofan,180,6300,4.65,1634.82,1,Asya,148842033.61,826900.1867222222,9.082333333333333,0.025833333333333337,1354.8387096774193,Large,New
Boeing 737,2021,2,Turbofan,162,5700,8.69,1832.29,2,Kuzey Amerika,96199872.84,593826.3755555556,11.310432098765432,0.053641975308641975,655.9263521288838,Large,New
Boeing 777,1993,2,Turbofan,396,15600,14.71,1244.17,30,Afrika,399690336.41,1009319.0313383839,3.1418434343434347,0.03714646464646465,1060.5030591434397,Very Large,Old
Boeing 777,2001,2,Turbofan,396,15600,7.67,3762.1,22,Güney Amerika,483821026.47,1221770.2688636365,9.500252525252526,0.01936868686868687,2033.8983050847457,Very Large,Old
Airbus A350,1982,2,Turbofan,350,14800,6.43,3335.16,41,Asya,397452966.59,1135579.904542857,9.52902857142857,0.01837142857142857,2301.7107309486782,Very Large,Old
Bombardier CRJ200,1983,2,Turbofan,50,3000,9.53,2741.58,40,Güney Amerika,10002889.85,200057.797,54.8316,0.1906,314.79538300104934,Medium,Old
Airbus A320,1990,2,Turbofan,180,6300,6.77,1789.97,33,Asya,76636770.03,425759.8335,9.944277777777778,0.03761111111111111,930.5760709010341,Large,Old
Airbus A350,2012,2,Turbofan,350,14800,12.57,966.99,11,Asya,573413773.79,1638325.0679714284,2.7628285714285714,0.03591428571428572,1177.4065234685759,Very Large,Mid-Age
Boeing 737,1995,2,Turbofan,162,5700,10.57,674.93,28,Avustralya,67478155.4,416531.8234567902,4.166234567901235,0.06524691358024691,539.2620624408704,Large,Old
Airbus A350,2017,2,Turbofan,350,14800,5.97,2682.47,6,Güney Amerika,629876547.06,1799647.2773142855,7.664199999999999,0.017057142857142858,2479.061976549414,Very Large,Mid-Age
Boeing 777,2006,2,Turbofan,396,15600,6.97,2829.38,17,Avrupa,473412328.09,1195485.6769949493,7.14489898989899,0.0176010101010101,2238.1635581061696,Very Large,Old
Bombardier CRJ200,2023,2,Turbofan,50,3000,7.53,4986.46,0,Kuzey Amerika,24544515.26,490890.30520000006,99.7292,0.1506,398.406374501992,Medium,New
Airbus A320,1987,2,Turbofan,180,6300,11.23,2067.04,36,Kuzey Amerika,86676944.25,481538.57916666666,11.483555555555556,0.06238888888888889,560.9973285841496,Large,Old
Airbus A320,1986,2,Turbofan,180,6300,11.35,2544.22,37,Avrupa,74964772.52,416470.9584444444,14.134555555555554,0.06305555555555556,555.0660792951542,Large,Old
Bombardier CRJ200,2006,2,Turbofan,50,3000,13.0,983.54,17,Avrupa,14599338.23,291986.7646,19.6708,0.26,230.76923076923077,Medium,Old
Airbus A350,1994,2,Turbofan,350,14800,6.11,1153.79,29,Asya,397903521.45,1136867.204142857,3.296542857142857,0.01745714285714286,2422.2585924713585,Very Large,Old
Airbus A350,2017,2,Turbofan,350,14800,5.34,4892.32,6,Afrika,623965291.7,1782757.9762857144,13.978057142857143,0.015257142857142856,2771.535580524345,Very Large,Mid-Age
Boeing 737,2007,2,Turbofan,162,5700,9.43,2287.52,16,Avrupa,85920248.32,530371.9032098765,14.120493827160495,0.058209876543209874,604.4538706256628,Large,Old
Airbus A320,2019,2,Turbofan,180,6300,8.72,4789.06,4,Afrika,146973182.24,816517.6791111112,26.60588888888889,0.04844444444444445,722.4770642201835,Large,New
Airbus A320,2004,2,Turbofan,180,6300,6.1,683.53,19,Kuzey Amerika,109895080.36,610528.2242222222,3.797388888888889,0.033888888888888885,1032.7868852459017,Large,Old
Airbus A320,2009,2,Turbofan,180,6300,14.36,3089.97,14,Avustralya,108434266.48,602412.5915555556,17.1665,0.07977777777777778,438.71866295264624,Large,Mid-Age
Airbus A320,2020,2,Turbofan,180,6300,4.62,1490.49,3,Kuzey Amerika,154922149.3,860678.6072222223,8.2805,0.025666666666666667,1363.6363636363635,Large,New
Boeing 777,1992,2,Turbofan,396,15600,13.08,4651.25,31,Kuzey Amerika,376588771.44,950981.7460606061,11.745580808080808,0.03303030303030303,1192.6605504587155,Very Large,Old
Airbus A320,1982,2,Turbofan,180,6300,8.04,2769.71,41,Avustralya,88963614.95,494242.3052777778,15.387277777777777,0.04466666666666666,783.5820895522389,Large,Old
Airbus A320,1987,2,Turbofan,180,6300,8.72,2402.91,36,Afrika,82088883.05,456049.35027777776,13.349499999999999,0.04844444444444445,722.4770642201835,Large,Old
Airbus A350,2006,2,Turbofan,350,14800,11.63,2164.99,17,Avrupa,525199686.06,1500570.5316,6.185685714285714,0.033228571428571434,1272.5709372312983,Very Large,Old
Boeing 777,1994,2,Turbofan,396,15600,4.66,3751.75,29,Kuzey Amerika,427044470.66,1078395.127929293,9.47411616161616,0.011767676767676769,3347.6394849785406,Very Large,Old
Cessna 172,1990,1,Piston,4,1285,15.53,1982.09,33,Güney Amerika,197138.58,49284.645,495.5225,3.8825,82.7430779137154,Small,Old
Airbus A350,2013,2,Turbofan,350,14800,2.92,2448.38,10,Afrika,515912161.16,1474034.7461714286,6.995371428571429,0.008342857142857143,5068.493150684932,Very Large,Mid-Age
Airbus A320,2017,2,Turbofan,180,6300,11.13,2695.44,6,Afrika,152881949.27,849344.1626111112,14.974666666666668,0.06183333333333334,566.0377358490566,Large,Mid-Age
Airbus A350,1997,2,Turbofan,350,14800,3.12,1800.22,26,Asya,373751972.55,1067862.7787142857,5.143485714285714,0.008914285714285715,4743.589743589743,Very Large,Old
Bombardier CRJ200,2007,2,Turbofan,50,3000,6.92,4714.55,16,Avustralya,18679386.62,373587.73240000004,94.291,0.1384,433.52601156069363,Medium,Old
Airbus A320,1995,2,Turbofan,180,6300,11.31,1959.41,28,Kuzey Amerika,81179339.7,450996.33166666667,10.885611111111112,0.06283333333333334,557.0291777188329,Large,Old
Airbus A350,2017,2,Turbofan,350,14800,5.79,1109.38,6,Avrupa,675881872.08,1931091.0630857144,3.169657142857143,0.016542857142857144,2556.1312607944733,Very Large,Mid-Age
Boeing 737,2006,2,Turbofan,162,5700,8.86,4744.84,17,Asya,66466448.91,410286.7216666666,29.289135802469136,0.054691358024691356,643.3408577878105,Large,Old
Boeing 737,2010,2,Turbofan,162,5700,8.18,1966.51,13,Avustralya,113846837.62,702758.2569135802,12.138950617283951,0.050493827160493825,696.8215158924205,Large,Mid-Age
Bombardier CRJ200,1986,2,Turbofan,50,3000,14.5,2268.28,37,Afrika,14218905.2,284378.104,45.3656,0.29,206.89655172413794,Medium,Old
Airbus A350,1995,2,Turbofan,350,14800,14.36,3694.12,28,Asya,317243591.56,906410.2616,10.554628571428571,0.04102857142857143,1030.6406685236768,Very Large,Old
Bombardier CRJ200,2006,2,Turbofan,50,3000,9.18,3994.73,17,Avrupa,16188960.21,323779.20420000004,79.8946,0.18359999999999999,326.79738562091507,Medium,Old
Airbus A320,2002,2,Turbofan,180,6300,6.2,3474.38,21,Kuzey Amerika,112418047.82,624544.710111111,19.302111111111113,0.034444444444444444,1016.1290322580645,Large,Old
Airbus A320,2021,2,Turbofan,180,6300,4.58,2322.1,2,Asya,144769252.28,804273.6237777778,12.900555555555554,0.025444444444444443,1375.5458515283842,Large,New
Boeing 737,2010,2,Turbofan,162,5700,8.65,4827.38,13,Avustralya,88365990.46,545469.0769135802,29.79864197530864,0.05339506172839507,658.9595375722544,Large,Mid-Age
Boeing 777,1990,2,Turbofan,396,15600,7.29,2098.09,33,Avustralya,459412507.74,1160132.5953030302,5.298207070707071,0.01840909090909091,2139.917695473251,Very Large,Old
Airbus A350,2016,2,Turbofan,350,14800,9.07,2341.38,7,Avustralya,627312228.45,1792320.6527142858,6.689657142857143,0.025914285714285716,1631.753031973539,Very Large,Mid-Age
Airbus A350,1988,2,Turbofan,350,14800,3.64,1260.97,35,Avustralya,378297762.35,1080850.7495714286,3.6027714285714287,0.0104,4065.934065934066,Very Large,Old
Airbus A350,1991,2,Turbofan,350,14800,7.22,3467.71,32,Kuzey Amerika,396973643.56,1134210.4101714285,9.907742857142857,0.020628571428571427,2049.861495844875,Very Large,Old
Bombardier CRJ200,2009,2,Turbofan,50,3000,10.29,4590.41,14,Avustralya,16295773.82,325915.4764,91.8082,0.20579999999999998,291.5451895043732,Medium,Mid-Age
Bombardier CRJ200,1980,2,Turbofan,50,3000,12.67,4820.05,43,Avustralya,13628306.43,272566.1286,96.40100000000001,0.2534,236.7797947908445,Medium,Old
Boeing 737,2004,2,Turbofan,162,5700,4.24,4342.77,19,Avustralya,71347441.77,440416.3072222222,26.807222222222226,0.02617283950617284,1344.3396226415093,Large,Old
Boeing 777,2013,2,Turbofan,396,15600,13.12,1719.09,10,Asya,572711540.23,1446241.2632070708,4.341136363636363,0.03313131313131313,1189.0243902439024,Very Large,Mid-Age
Boeing 777,2007,2,Turbofan,396,15600,2.99,643.48,16,Kuzey Amerika,494542829.4,1248845.5287878788,1.624949494949495,0.007550505050505051,5217.391304347826,Very Large,Old
Bombardier CRJ200,2019,2,Turbofan,50,3000,12.37,1543.37,4,Güney Amerika,20788975.25,415779.505,30.867399999999996,0.24739999999999998,242.5222312045271,Medium,New
Cessna 172,1993,1,Piston,4,1285,10.23,3034.07,30,Avustralya,172727.39,43181.8475,758.5175,2.5575,125.61094819159335,Small,Old
Boeing 737,2019,2,Turbofan,162,5700,10.79,1012.75,4,Kuzey Amerika,99588155.01,614741.6975925927,6.2515432098765435,0.06660493827160494,528.2669138090826,Large,New
Bombardier CRJ200,1983,2,Turbofan,50,3000,11.37,3659.44,40,Güney Amerika,12943396.16,258867.9232,73.1888,0.2274,263.85224274406335,Medium,Old
Bombardier CRJ200,2003,2,Turbofan,50,3000,7.76,4755.33,20,Asya,17126849.32,342536.9864,95.1066,0.1552,386.59793814432993,Medium,Old
Boeing 737,2004,2,Turbofan,162,5700,8.19,3196.82,19,Kuzey Amerika,94299283.91,582094.3451234568,19.73345679012346,0.050555555555555555,695.970695970696,Large,Old
Airbus A350,2019,2,Turbofan,350,14800,9.58,4063.58,4,Asya,685876243.85,1959646.411,11.610228571428571,0.02737142857142857,1544.8851774530272,Very Large,New
Boeing 777,2003,2,Turbofan,396,15600,14.25,4590.13,20,Avrupa,470076978.96,1187063.0781818181,11.591237373737375,0.03598484848484849,1094.7368421052631,Very Large,Old
Bombardier CRJ200,2015,2,Turbofan,50,3000,6.28,605.57,8,Avustralya,18953972.41,379079.4482,12.111400000000001,0.12560000000000002,477.7070063694267,Medium,Mid-Age
Boeing 737,2015,2,Turbofan,162,5700,13.84,2915.91,8,Avustralya,108563284.61,670143.7321604938,17.999444444444443,0.0854320987654321,411.84971098265896,Large,Mid-Age
Airbus A320,1988,2,Turbofan,180,6300,5.46,2894.53,35,Kuzey Amerika,71823428.84,399019.04911111115,16.080722222222224,0.030333333333333334,1153.8461538461538,Large,Old
